,Start,Target,Distance
604,Asuncin,Ankara,11820
605,Asuncin,Asuncin,0
606,Asuncin,Athens,11002
607,Asuncin,Auckland,11195
608,Asuncin,Bangkok,17399
609,Asuncin,Barcelona,9630
610,Asuncin,Beijing,18293
611,Asuncin,Belm,2822
612,Asuncin,Belfast,10156
613,Asuncin,Belgrade,11094
614,Asuncin,Berlin,11030
615,Asuncin,Birmingham,10183
616,Asuncin,Bogot,3764
617,Asuncin,Bombay,14893
618,Asuncin,Bordeaux,9706
619,Asuncin,Bremen,10801
620,Asuncin,Brisbane,13287
621,Asuncin,Bristol,10078
622,Asuncin,Brussels,10410
623,Asuncin,Bucharest,11476
624,Asuncin,Budapest,11124
625,Asuncin,Buenos Aires,1040
626,Asuncin,Cairo,11290
627,Asuncin,Calcutta,16561
628,Asuncin,Canton,19063
629,Asuncin,Cape Town,7251
630,Asuncin,Caracas,4099
631,Asuncin,Cayenne,3393
632,Asuncin,Chihuahua,7914
633,Asuncin,Chongqing,18382
634,Asuncin,Copenhagen,11158
635,Asuncin,Crdoba,938
636,Asuncin,Dakar,6218
637,Asuncin,Darwin,15720
638,Asuncin,Djibouti,11616
639,Asuncin,Dublin,10041
640,Asuncin,Durban,8513
641,Asuncin,Edinburgh,10383
642,Asuncin,Frankfurt,10611
643,Asuncin,Georgetown,3558
644,Asuncin,Glasgow,10327
645,Asuncin,Guatemala City,5685
646,Asuncin,Guayaquil,3503
647,Asuncin,Hamburg,10897
648,Asuncin,Hammerfest,12333
649,Asuncin,Havana,6003
650,Asuncin,Helsinki,12033
651,Asuncin,Hobart,12020
652,Asuncin,Hong Kong,19124
653,Asuncin,Iquique,1395
654,Asuncin,Irkutsk,16629
655,Asuncin,Jakarta,16128
656,Asuncin,Johannesburg,8406
657,Asuncin,Kingston,5235
658,Asuncin,Kinshasa,8090
659,Asuncin,Kuala Lumpur,16710
660,Asuncin,La Paz,1479
661,Asuncin,Leeds,10302
662,Asuncin,Lima,2511
663,Asuncin,Lisbon,8721
664,Asuncin,Liverpool,10203
665,Asuncin,London,10213
666,Asuncin,Lyons,10097
667,Asuncin,Madrid,9187
668,Asuncin,Manchester,10246
669,Asuncin,Manila,18820
670,Asuncin,Marseilles,9969
671,Asuncin,Mazatln,7523
672,Asuncin,Mecca,11715
673,Asuncin,Melbourne,12618
674,Asuncin,Mexico City,6690
675,Asuncin,Milan,10354
676,Asuncin,Montevideo,1080
677,Asuncin,Moscow,12624
678,Asuncin,Munich,10670
679,Asuncin,Nagasaki,18896
680,Asuncin,Nagoya,18237
681,Asuncin,Nairobi,10400
682,Asuncin,Nanjing (Nanking),19187
683,Asuncin,Naples,10431
684,Asuncin,New Delhi,15550
685,Asuncin,Newcastle-on-Tyne,10385
686,Asuncin,Odessa,11898
687,Asuncin,Osaka,18381
688,Asuncin,Oslo,11305
689,Asuncin,Panama City,4481
690,Asuncin,Paramaribo,3456
691,Asuncin,Paris,10154
692,Asuncin,Perth,13617
693,Asuncin,Plymouth,9922
694,Asuncin,Port Moresby,15316
695,Asuncin,Prague,10959
696,Asuncin,Rangoon,17132
697,Asuncin,Reykjavk,10405
698,Asuncin,Rio de Janeiro,1489
699,Asuncin,Rome,10363
700,Asuncin,Salvador,2434
701,Asuncin,Santiago,1560
702,Asuncin,St. Petersburg,12306
703,Asuncin,So Paulo,1145
704,Asuncin,Shanghai,19351
705,Asuncin,Singapore,16693
706,Asuncin,Sofia,11193
707,Asuncin,Stockholm,11635
708,Asuncin,Sydney,12764
709,Asuncin,Tananarive,10562
710,Asuncin,Teheran,13293
711,Asuncin,Tokyo,17988
712,Asuncin,Tripoli,9900
713,Asuncin,Venice,10561
714,Asuncin,Veracruz,6459
715,Asuncin,Vienna,10980
716,Asuncin,Vladivostok,17837
717,Asuncin,Warsaw,11475
718,Asuncin,Wellington,10855
719,Asuncin,Zrich,10430
720,Athens,Aberdeen,2849
721,Athens,Adelaide,14301
722,Athens,Algiers,1830
723,Athens,Amsterdam,2165
724,Athens,Ankara,824
725,Athens,Asuncin,11002
726,Athens,Athens,0
727,Athens,Auckland,17464
728,Athens,Bangkok,7923
729,Athens,Barcelona,1879
730,Athens,Beijing,7618
731,Athens,Belm,8560
732,Athens,Belfast,2898
733,Athens,Belgrade,811
734,Athens,Berlin,1801
735,Athens,Birmingham,2548
736,Athens,Bogot,10391
737,Athens,Bombay,5169
738,Athens,Bordeaux,2150
739,Athens,Bremen,2033
740,Athens,Brisbane,15202
741,Athens,Bristol,2540
742,Athens,Brussels,2090
743,Athens,Bucharest,744
744,Athens,Budapest,1125
745,Athens,Buenos Aires,11681
746,Athens,Cairo,1127
747,Athens,Calcutta,6317
748,Athens,Canton,8414
749,Athens,Cape Town,8012
750,Athens,Caracas,9359
751,Athens,Cayenne,8453
752,Athens,Chihuahua,10956
753,Athens,Chongqing,7450
754,Athens,Copenhagen,2137
755,Athens,Crdoba,11924
756,Athens,Dakar,4796
757,Athens,Darwin,12350
758,Athens,Djibouti,3514
759,Athens,Dublin,2854
760,Athens,Durban,7581
761,Athens,Edinburgh,2820
762,Athens,Frankfurt,1801
763,Athens,Georgetown,8843
764,Athens,Glasgow,2872
765,Athens,Guatemala City,11017
766,Athens,Guayaquil,11350
767,Athens,Hamburg,2024
768,Athens,Hammerfest,3632
769,Athens,Havana,9748
770,Athens,Helsinki,2470
771,Athens,Hobart,15298
772,Athens,Hong Kong,8543
773,Athens,Iquique,11693
774,Athens,Irkutsk,6171
775,Athens,Jakarta,9834
776,Athens,Johannesburg,7149
777,Athens,Kingston,9670
778,Athens,Kinshasa,4779
779,Athens,Kuala Lumpur,8740
780,Athens,La Paz,11301
781,Athens,Leeds,2600
782,Athens,Lima,11760
783,Athens,Lisbon,2851
784,Athens,Liverpool,2666
785,Athens,London,2391
786,Athens,Lyons,1781
787,Athens,Madrid,2368
788,Athens,Manchester,2627
789,Athens,Manila,9632
790,Athens,Marseilles,1657
791,Athens,Mazatln,11451
792,Athens,Mecca,2391
793,Athens,Melbourne,14948
794,Athens,Mexico City,11280
795,Athens,Milan,1463
796,Athens,Montevideo,11540
797,Athens,Moscow,2232
798,Athens,Munich,1496
799,Athens,Nagasaki,9061
800,Athens,Nagoya,9371
801,Athens,Nairobi,4584
802,Athens,Nanjing (Nanking),8290
803,Athens,Naples,873
804,Athens,New Delhi,5011
805,Athens,Newcastle-on-Tyne,2680
806,Athens,Odessa,1108
807,Athens,Osaka,9319
808,Athens,Oslo,2611
809,Athens,Panama City,10534
810,Athens,Paramaribo,8648
811,Athens,Paris,2094
812,Athens,Perth,12290
813,Athens,Plymouth,2589
814,Athens,Port Moresby,13558
815,Athens,Prague,1535
816,Athens,Rangoon,7331
817,Athens,Reykjavk,4161
818,Athens,Rio de Janeiro,9722
819,Athens,Rome,1054
820,Athens,Salvador,8587
821,Athens,Santiago,12563
822,Athens,St. Petersburg,2486
823,Athens,So Paulo,10013
824,Athens,Shanghai,8545
825,Athens,Singapore,9065
826,Athens,Sofia,523
827,Athens,Stockholm,2404
828,Athens,Sydney,15314
829,Athens,Tananarive,6789
830,Athens,Teheran,2496
831,Athens,Tokyo,9512
832,Athens,Tripoli,1102
833,Athens,Venice,1255
834,Athens,Veracruz,11089
835,Athens,Vienna,1287
836,Athens,Vladivostok,8460
837,Athens,Warsaw,1600
838,Athens,Wellington,17521
839,Athens,Zrich,1617
840,Auckland,Aberdeen,17748
841,Auckland,Adelaide,3244
842,Auckland,Algiers,19281
843,Auckland,Amsterdam,18118
844,Auckland,Ankara,16696
845,Auckland,Asuncin,11195
846,Auckland,Athens,17464
847,Auckland,Auckland,0
848,Auckland,Bangkok,9571
849,Auckland,Barcelona,19203
850,Auckland,Beijing,10408
851,Auckland,Belm,13850
